id,label,hemisphere,structure
8103,Left_AV,L,subcortex/brainstem
8104,Left_CeM,L,subcortex/brainstem
8105,Left_CL,L,subcortex/brainstem
8106,Left_CM,L,subcortex/brainstem
8108,Left_LD,L,subcortex/brainstem
8109,Left_LGN,L,subcortex/brainstem
8110,Left_LP,L,subcortex/brainstem
8111,Left_L_Sg,L,subcortex/brainstem
8112,Left_MDl,L,subcortex/brainstem
8113,Left_MDm,L,subcortex/brainstem
8115,Left_MGN,L,subcortex/brainstem
8116,Left_MV(Re),L,subcortex/brainstem
8117,Left_Pc,L,subcortex/brainstem
8118,Left_Pf,L,subcortex/brainstem
8119,Left_Pt,L,subcortex/brainstem
8120,Left_PuA,L,subcortex/brainstem
8121,Left_PuI,L,subcortex/brainstem
8122,Left_PuL,L,subcortex/brainstem
8123,Left_PuM,L,subcortex/brainstem
8125,Left_R,L,subcortex/brainstem
8126,Left_VA,L,subcortex/brainstem
8127,Left_VAmc,L,subcortex/brainstem
8128,Left_VLa,L,subcortex/brainstem
8129,Left_VLp,L,subcortex/brainstem
8130,Left_VM,L,subcortex/brainstem
8133,Left_VPL,L,subcortex/brainstem
8203,Right_AV,R,subcortex/brainstem
8204,Right_CeM,R,subcortex/brainstem
8205,Right_CL,R,subcortex/brainstem
8206,Right_CM,R,subcortex/brainstem
8208,Right_LD,R,subcortex/brainstem
8209,Right_LGN,R,subcortex/brainstem
8210,Right_LP,R,subcortex/brainstem
8211,Right_L_Sg,R,subcortex/brainstem
8212,Right_MDl,R,subcortex/brainstem
8213,Right_MDm,R,subcortex/brainstem
8215,Right_MGN,R,subcortex/brainstem
8216,Right_MV(Re),R,subcortex/brainstem
8217,Right_Pc,R,subcortex/brainstem
8218,Right_Pf,R,subcortex/brainstem
8219,Right_Pt,R,subcortex/brainstem
8220,Right_PuA,R,subcortex/brainstem
8221,Right_PuI,R,subcortex/brainstem
8222,Right_PuL,R,subcortex/brainstem
8223,Right_PuM,R,subcortex/brainstem
8225,Right_R,R,subcortex/brainstem
8226,Right_VA,R,subcortex/brainstem
8227,Right_VAmc,R,subcortex/brainstem
8228,Right_VLa,R,subcortex/brainstem
8229,Right_VLp,R,subcortex/brainstem
8230,Right_VM,R,subcortex/brainstem
8233,Right_VPL,R,subcortex/brainstem
