"Structure","Region","Hemi","beta","p","FDR q"
"thal","mediodorsal","L","-0.34","4.5e-05","2.8e-04"
"thal","mediodorsal","R","-0.32","1.7e-04","7.7e-04"
"thal","ventral lateral","R","-0.28","1.7e-04","7.7e-04"
"thal","ventral lateral","L","-0.26","5.6e-04","2.2e-03"
"thal","paracentral","R","-0.20","1.7e-02","4.6e-02"
"thal","medial geniculate","R","0.17","1.7e-02","4.6e-02"
"thal","lateral geniculate","L","0.21","1.9e-02","5.0e-02"
"thal","anteroventral","L","0.24","7.2e-03","2.2e-02"
"thal","medial ventral (reuniens)","R","0.34","6.4e-04","2.5e-03"
"thal","medial ventral (reuniens)","L","0.42","6.9e-05","3.7e-04"
"thal","lateral geniculate","R","0.46","9.8e-07","1.3e-05"
"hip","fimbria","R","0.27","5.5e-03","1.8e-02"
"hip","GC ML DG","L","0.37","1.3e-04","6.4e-04"
"hip","CA1","L","0.38","2.8e-04","1.2e-03"
"hip","CA4","L","0.39","6.3e-05","3.6e-04"
"hip","hippocampal fissure","R","0.39","3.3e-05","2.2e-04"
"hip","CA4","R","0.43","1.8e-06","1.8e-05"
"hip","GC ML DG","R","0.44","2.2e-06","2.0e-05"
"hip","subiculum","R","0.45","3.2e-07","5.2e-06"
"hip","molecular layer","L","0.46","2.9e-06","2.3e-05"
"hip","subiculum","L","0.47","1.4e-07","2.8e-06"
"hip","molecular layer","R","0.48","1.4e-06","1.6e-05"
"hip","CA1","R","0.49","4.0e-06","2.9e-05"
"hip","hippocampal tail","R","0.55","5.0e-08","1.3e-06"
"hip","hippocampal fissure","L","0.57","7.1e-10","2.8e-08"
"hip","hippocampal tail","L","0.61","2.2e-10","1.7e-08"
"amy","paralaminar nucleus","R","0.23","1.2e-02","3.6e-02"
"amy","accessory basal nucleus","L","0.23","1.9e-02","5.0e-02"
"amy","paralaminar nucleus","L","0.25","5.9e-03","1.9e-02"
"amy","basal nucleus","R","0.27","7.7e-04","2.8e-03"
"amy","basal nucleus","L","0.29","1.6e-03","5.7e-03"
