"Structure","Region","Hemi","beta","p","FDR q"
"whole volumes","total ICV",NA,"0.32","0.00012","0.00025"
"","whole thalamus","L","-0.08","0.28","0.29"
"","whole thalamus","R","0.01","0.88","0.88"
"","whole amygdala","L","0.14","0.1","0.11"
"","whole amygdala","R","0.14","0.072","0.079"
"","whole hippocampus","L","0.43","3.7e-06","1.2e-05"
"","whole hippocampus","R","0.47","2.7e-07","2e-06"
"thalamus subregions","mediodorsal","L","-0.34","4.5e-05","0.00011"
"","mediodorsal","R","-0.32","0.00017","0.00031"
"","ventral lateral","R","-0.28","0.00017","0.00031"
"","ventral lateral","L","-0.26","0.00056","0.00092"
"","paracentral","R","-0.20","0.017","0.02"
"","medial geniculate","R","0.17","0.017","0.02"
"","lateral geniculate","L","0.21","0.019","0.022"
"","anteroventral","L","0.24","0.0072","0.0094"
"","medial ventral (reuniens)","R","0.34","0.00064","0.001"
"","medial ventral (reuniens)","L","0.42","6.9e-05","0.00016"
"","lateral geniculate","R","0.46","9.8e-07","5.3e-06"
"hippocampus subregions","fimbria","R","0.27","0.0055","0.0077"
"","GC ML DG","L","0.37","0.00013","0.00025"
"","CA1","L","0.38","0.00028","0.00049"
"","CA4","L","0.39","6.3e-05","0.00015"
"","hippocampal fissure","R","0.39","3.3e-05","8.9e-05"
"","CA4","R","0.43","1.8e-06","7.6e-06"
"","GC ML DG","R","0.44","2.2e-06","8.4e-06"
"","subiculum","R","0.45","3.2e-07","2e-06"
"","molecular layer","L","0.46","2.9e-06","1e-05"
"","subiculum","L","0.47","1.4e-07","1.3e-06"
"","molecular layer","R","0.48","1.4e-06","6.7e-06"
"","CA1","R","0.49","4e-06","1.2e-05"
"","hippocampal tail","R","0.55","5e-08","6.3e-07"
"","hippocampal fissure","L","0.57","7.1e-10","1.4e-08"
"","hippocampal tail","L","0.61","2.2e-10","8.2e-09"
"amygdala subregions","paralaminar nucleus","R","0.23","0.012","0.015"
"","accessory basal nucleus","L","0.23","0.019","0.022"
"","paralaminar nucleus","L","0.25","0.0059","0.008"
"","basal nucleus","R","0.27","0.00077","0.0012"
"","basal nucleus","L","0.29","0.0016","0.0024"
