Structure,Name,region,number,region_alt,R,G,B,A
thalamus,lateral geniculate,Left-LGN,8109,Left-LGN,0,0,127,0
thalamus,lateral geniculate,Right-LGN,8209,Right-LGN,0,0,127,0
thalamus,medial geniculate,Right-MGN,8215,Right-MGN,170,255,127,0
thalamus,medial geniculate,Left-MGN,8115,Left-MGN,170,255,127,0
thalamus,pulvinar inferior,Left-PuI,8121,Left-PuI,170,170,255,0
thalamus,pulvinar medial,Left-PuM,8123,Left-PuM,170,255,255,0
thalamus,limitans (suprageniculate),Left-L-Sg,8111,Left-L-Sg,170,85,127,0
thalamus,ventral posterolateral,Left-VPL,8133,Left-VPL,255,0,255,0
thalamus,centromedian,Left-CM,8106,Left-CM,170,170,0,0
thalamus,ventral lateral anterior,Left-VLa,8128,Left-VLa,85,170,0,0
thalamus,pulvinar anterior,Left-PuA,8120,Left-PuA,0,170,255,0
thalamus,mediodorsal medial,Left-MDm,8113,Left-MDm,170,170,127,0
thalamus,parafascicular,Left-Pf,8118,Left-Pf,0,85,255,0
thalamus,ventral anterior mc,Left-VAmc,8127,Left-VAmc,255,85,0,0
thalamus,mediodorsal lateral,Left-MDl,8112,Left-MDl,0,170,127,0
thalamus,central medial,Left-CeM,8104,Left-CeM,170,85,0,0
thalamus,ventral anterior,Left-VA,8126,Left-VA,85,85,0,0
thalamus,medial ventral (reuniens),Left-MV(Re),8116,Left-MV(Re),0,0,255,0
thalamus,ventromedial,Left-VM,8130,Left-VM,85,255,0,0
thalamus,central lateral,Left-CL,8105,Left-CL,0,170,0,0
thalamus,pulvinar lateral,Left-PuL,8122,Left-PuL,0,255,255,0
thalamus,paratenial,Left-Pt,8119,Left-Pt,170,85,255,0
thalamus,anteroventral,Left-AV,8103,Left-AV,0,85,0,0
thalamus,paracentral,Left-Pc,8117,Left-Pc,170,0,255,0
thalamus,ventral lateral posterior,Left-VLp,8129,Left-VLp,255,170,0,0
thalamus,lateral posterior,Left-LP,8110,Left-LP,0,85,127,0
thalamus,pulvinar inferior,Right-PuI,8221,Right-PuI,170,170,255,0
thalamus,pulvinar medial,Right-PuM,8223,Right-PuM,170,255,255,0
thalamus,limitans (suprageniculate),Right-L-Sg,8211,Right-L-Sg,170,85,127,0
thalamus,ventral posterolateral,Right-VPL,8233,Right-VPL,255,0,255,0
thalamus,centromedian,Right-CM,8206,Right-CM,170,170,0,0
thalamus,ventral lateral anterior,Right-VLa,8228,Right-VLa,85,170,0,0
thalamus,pulvinar anterior,Right-PuA,8220,Right-PuA,0,170,255,0
thalamus,mediodorsal medial,Right-MDm,8213,Right-MDm,170,170,127,0
